com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_57_years,persons,331.2561779,0.014631716547329567
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_58_years,persons,300.3856391,0.013268152624542
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_59_years,persons,284.4471871,0.012564144888458001
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_5_years,persons,291.0223685,0.012854573254509838
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_60_years,persons,307.3691777,0.013576618289817478
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_61_years,persons,270.177928,0.011933866063727278
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_62_years,persons,265.4358112,0.011724404886906976
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_63_years,persons,274.9904336,0.012146436341715855
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_64_years,persons,262.4240067,0.011591372289539766
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_65_years,persons,245.8507752,0.010859326091583335
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_66_years,persons,235.6868065,0.010410379569416964
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_67_years,persons,216.5018929,0.00956297433894018
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_68_years,persons,209.3887834,0.009248785475704742
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_69_years,persons,184.1451871,0.008133765831276195
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_6_years,persons,303.2232041,0.013393488994199555
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_70_years,persons,183.5562283,0.008107751287866663
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_71_years,persons,198.020643,0.008746650212726314
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_72_years,persons,173.8205909,0.007677724328830194
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_73_years,persons,179.7130665,0.007937997309360938
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_74_years,persons,155.3900039,0.006863638002970619
